ADI;BOYLAM;ENLEM;DEGER
Konya Teknik Üniversitesi Mimarlýk Fakültesi;32.515454292297356;38.00673897262538;2
Konya Teknik Üniversitesi Mühendislik Fakültesi;32.51350700855255;38.018480167761915;2
KTÖ Karatay Üniversitesi;32.536911964416504;37.86504581767034;1
Necmettin Erbakan Üniversitesi Köyceðiz Yerleþkesi;32.41959750652313;37.86585469564148;1
Necmettin Erbakan Üniversitesi Turizm Fakültesi;32.43091642856598;37.85718526365651;1
Necmettin Erbakan Üniversitesi Ereðli Kampüsü;34.05693054199219;37.46670914646518;1
Necmettin Erbakan Üniversitesi Seydiþehir Meslek Yüksekokulu;31.829130649566647;37.43317590408523;1
Necmettin Erbakan Üniversitesi Seydiþehir Ahmet Cengiz Mühendislik Fakültesi;31.829184293746952;37.43451343316088;1
Selçuk Üniversitesi Kampüsü 1;32.51350700855255;38.018480167761915;4
Selçuk Üniversitesi Akören Ali Rýza Ercan Meslek Yüksekokulu;32.361109256744385;37.45838898982144;1
Selçuk Üniversitesi Akþehir Kadir Yallagöz Saðlýk Yüksekokulu;31.42645865678787;38.34826369192352;1
Selçuk Üniversitesi Akþehir Mühendislik Ve Mimarlýk Fakültesi;31.420474648475643;38.37473602394966;1
Selçuk Üniversitesi Ali Akkanat Kampüsü;31.702605485916138;37.65387161864688;1
Selçuk Üniversitesi Bozkýr Meslek Yüksekokulu;32.22757816314697;37.194091349340034;1
Selçuk Üniversitesi Cihanbeyli Meslek Yüksekokulu;32.92379379272461;38.64505639361955;1
Selçuk Üniversitesi Doðanhisar Meslek Yüksekokulu;31.68061137199402;38.149694397913784;1
Selçuk Üniversitesi Güneysýnýr Meslek Yüksekokulu;32.71776795387268;37.281659291827815;1
Selçuk Üniversitesi Hadim Meslek Yüksekokulu;32.44210124015808;36.98336618247933;1
